filename,source,true_binary,pred_binary,true_level,pred_level,manual_error_factor_hint
coco_IMG_20250401_150634_jpg.rf.4wrRW10iXbIt6JRqz2Tr.jpg,coco:coco:IMG_20250401_150634_jpg.rf.4wrRW10iXbIt6JRqz2Tr.jpg,1,1,medium,small,check: reflection / label occlusion / transparent liquid / horizontal pose / complex background
coco_IMG_20250401_163632_jpg.rf.GjWNTIJRF7MInbxAQIUu.jpg,coco:coco:IMG_20250401_163632_jpg.rf.GjWNTIJRF7MInbxAQIUu.jpg,0,1,none,small,check: reflection / label occlusion / transparent liquid / horizontal pose / complex background
coco_IMG_20250401_154912_jpg.rf.wspyHXQOhs0LU9sMteTp.jpg,coco:coco:IMG_20250401_154912_jpg.rf.wspyHXQOhs0LU9sMteTp.jpg,1,1,small,medium,check: reflection / label occlusion / transparent liquid / horizontal pose / complex background
coco_IMG_20250401_154958_jpg.rf.I1ljVgU1hPOEtP2GZ08a.jpg,coco:coco:IMG_20250401_154958_jpg.rf.I1ljVgU1hPOEtP2GZ08a.jpg,1,1,medium,small,check: reflection / label occlusion / transparent liquid / horizontal pose / complex background
coco_IMG_20250401_150053_jpg.rf.VeQoA2UqqLLc2hxPdahl.jpg,coco:coco:IMG_20250401_150053_jpg.rf.VeQoA2UqqLLc2hxPdahl.jpg,1,1,small,medium,check: reflection / label occlusion / transparent liquid / horizontal pose / complex background
coco_IMG_20250401_160441_jpg.rf.yu233eNzGI7IiQaA1W7H.jpg,coco:coco:IMG_20250401_160441_jpg.rf.yu233eNzGI7IiQaA1W7H.jpg,1,1,small,medium,check: reflection / label occlusion / transparent liquid / horizontal pose / complex background
coco_IMG_20250401_152417_jpg.rf.Dz54erFPSkSaXf5KnFkR.jpg,coco:coco:IMG_20250401_152417_jpg.rf.Dz54erFPSkSaXf5KnFkR.jpg,1,1,small,medium,check: reflection / label occlusion / transparent liquid / horizontal pose / complex background
coco_IMG_20250401_151529_jpg.rf.zgHdvpPjtZmeudDvg5cv.jpg,coco:coco:IMG_20250401_151529_jpg.rf.zgHdvpPjtZmeudDvg5cv.jpg,1,1,medium,small,check: reflection / label occlusion / transparent liquid / horizontal pose / complex background
coco_IMG_20250401_163738_jpg.rf.Js71zVAekHLUQUH859To.jpg,coco:coco:IMG_20250401_163738_jpg.rf.Js71zVAekHLUQUH859To.jpg,1,1,large,medium,check: reflection / label occlusion / transparent liquid / horizontal pose / complex background
coco_IMG_20250401_163554_jpg.rf.ab6jbsJunaAidYpWxIA3.jpg,coco:coco:IMG_20250401_163554_jpg.rf.ab6jbsJunaAidYpWxIA3.jpg,1,1,large,medium,check: reflection / label occlusion / transparent liquid / horizontal pose / complex background
